Metin;Durum
tenceredibinkaraseninkibendenkara;0
dil yarasi;0
kocaeli mhp istemiyordu bu kadar acik isabet olmus;1
devlet bey istifasini istedi sancakli da emri yerine getirdikendi ayrilmadi yanibence yanlis yaptibu kadar cabuk adam harcanmazak parti boyle yapmiyormhp olunca kafa kopuyoriki parti arasinda disiplin acisindan cok buyuk fark var;0
samsun ilkadim da mhp ye beledeye baskanligi adayi kesinlikle verilmelidir yoksa buyuksehir bile kaybedelibilr;0
radyo programindan istek yapmiyorsun bu tur istekler mhp de gecersiz ibret al;0
ser odaklarin cumhur ittifaki na yonelik asli astari olmayan haberleri yipratma amaclidirherkes kendine duseni yapmali cumhur ittifaki her daim birdir birliktedir camur siyaseti herzaman kaybetmeye mahkum olur;0
turk siyaseti derebeylik gibi parti ile meclise giren partiden istifa ettiginde vekilligi de dusmelidir siyasete devam edecek ise bir sonraki secimde secmenine guveniyorsa ve secmen de ona itimad ediyorsa bagimsiz girer secimlere yahut baska bir parti kabul ederse onunla girer ama boyle olmamali;0
gule gule;0
saffet bey cumhur ittifakina yanlis yapacak birisi degildir;0
sizin acilen millet vekilliginden istifa etmeniz gerekiyor diye dusunuyorum;0
madem devlet baskana bu kadar baglisin saygin var neden elini opup ozur dilemedin o kadar milletvekilligi verdi sana devlet bey devlet beye borcunu boyle mi oduyorsun insanoglu nankor demisler hakikaten dogru;0
futbolcuysan git yorumcu ol antrenor ol ne isin var siyasetteturkiyede niye kimse isini yapmiyor;0
yerin cumhur ittifaki olmali eger meral e gidersen adam degilsin derim;1
mhp sadece bahceli fikir beyan edernedense gazzeye gitmeyi erteledimillet desdek verdi devlet izin vermisti hele ferdi tayfurda arabesk esliginde vayy yigidim veyyyy;0
sayin sancakli hem ulke hem parti ve hem de birey olarak ince bir cizgi uzerinde yurudugumuz cok hassas donemlerden geciyoruz bu gibi kritik esiklerde topyekun hareket etmenin ehemmiyeti tavan yapar odaklanmamiz gereken konularin disinda gundemi mesgul etmek cok yanlis basin danismaninizi iyi secmelisiniz sizinle biriki saat strateji uzerine konusmak isterdim;0
;1
