Haber;Kategorizasyon
anayasa mahkemesi aym gezi parki davasi hukumlusu turkiye isci partisi tip hatay milletvekili can atalay hakkindaki ikinci hak ihlali basvurusunu kabul etti aym birinci bolumu tipten milletvekili secilen gezi parki davasi hukumlusu can atalay hakkindaki hak ihlali basvurusunu oy birligi ile aym genel kuruluna sevk etti gezi parki davasinda yil hapse mahkum edildikten sonra hatay milletvekili secilen tahliye ve yargilamanin durmasi istemi yargitay tarafindan reddedilen atalay aymye ikinci kez bireysel basvuruda bulunmustu;teknoloji 
istanbul avcilarda kentsel donusum kapsaminda yikilmasi planlanarak kismen bosaltilan binadaki bir daireye yerlesen hirsiz apartmandakiler tarafindan fark edildi polisin gelmesiyle evden cikamayan hirsiz kapi kilidini bozdu itfaiye ekipleri kilitli kapiyi acmaya calistigi sirada hirsizin havalandirma boslugundan kactigi ortaya cikti istanbul avcilar merkez mahallesindeki rifat sokakta kentsel donusum kapsaminda yikilmasi planlanan katli binanin en ust katinda oturan koray avucun degerli esyalarini alarak kismen bosalttigi evine giren supheli apartman sakinleri tarafindan fark edildi kimligi belirsiz kisinin apartmandakilere evi kiraladigini soylemesi uzerine suphelenen komsular durumu koray avuca bildirdi evini hic kimseye kiralamadigini belirten koray avuc dairesine gelirken yolda polisi arayarak evinde hirsiz oldugu ihbar etti polislerin geldigini goren supheli iceri girmelerini engellemek icin eline gecirdigi bir aletle vurarak kapi kilidi bozdu polislerin cagirdigi cilingir bozulan kilidi acamadi bunun uzerine itfaiye cagrildi itfaiye ekibi balyoz darbeleri ve levyelerle celik kapiyi acmaya calisti cabalar sonuc vermeyince motorlu testere getirilerek kapi kesildi yaklasik saat suren cabalarin ardindan kapinin ortasinda bir kisinin gecebilecegi delik acildi iceri giren polisler evde kimseyi bulamadi polis suphelinin havalandirma boslugundan alttaki bos dairelerden birine indigini buradan da kactigini tespit etti ev sahibi koray avuc komsular bu kisi ile diyaloga geciyor evi ahmet isimli birisinden kiraladigini soyluyor komsular haber verince hemen geldim esim de polisi ariyor kapiyi zorla actilar buradaki birkac parca esyayi daha alip gidecegim dedi;teknoloji 
klasik otomobillere tutkusuyla taninan mhp genel baskani devlet bahceli partisinin antalya milletvekili abdurrahman baskana model mercedes otomobil hediye etti mhp lideri devlet bahceli milletvekili abdurrahman baskana klasik otomobil hediye etti baskan paylasiminda genel baskanimiz sayin devlet bahceli beyefendiden cumhuriyetimizin yilina ozel plakali bu arac ben ve ailem tarafindan nesilden nesile nice yillar boyunca en ozel hatira olarak saklanacaktir dedi;teknoloji 
osmaniyede polis ekiplerinin durdurdugu hafif ticari aracta suriyeli kacak gocmen yakalandi arac surucusu me ile ona baska aracla rehberlik eden ia ve hg tutuklandi il emniyet mudurlugu gocmen kacakciligiyla mucadele ve hudut kapilari sube mudurlugu ekipleri tarafindan tarsus adana gaziantep tag otoyolundaki uygulama noktasinda supheli oldugu degerlendirilip durdurulan hafif ticari aracta suriye uyruklu kacak gocmen yakalandi ekipler arac surucusu meyi ve baska aracla ona rehberlik ettigi belirlenen ia ile hgyi gozaltina aldi emniyetteki islemlerinin ardindan adliyeye sevk edilen supheliler tutuklandi kacak gocmenler il goc idaresi mudurlugundeki islemleri sonrasi sinir disi edilmek uzere geri gonderme merkezine teslim edildi;teknoloji 
turkiyede oyuncak sektorunun ihracati yilda katina cikarken ithalat yuzde geriledi turkiye istatistik kurumu tuik verilerine gore turkiyenin oyuncak sektoru ihracatinda artis dikkati cekiyor ihracati yapilan oyuncaklar arasinda uc tekerlekli bisikletler oyuncak bebekler elektrikli trenler oyuncak muzik aletleri ve bilmeceler puzzle gibi bircok urun bulunuyor bu yilin aylik doneminde sektorun ihracati milyon bin dolara ulasti ulkeler bazinda bakildiginda en cok ihracat gerceklestirilen ulke milyon bin dolarla abd olurken bu ulkeden ithal edilen oyuncak tutari ise bin dolar olarak kayitlara gecti abdyi milyon bin dolar ihracatla rusya takip etti rusyayi milyon bin dolarla romanya milyon bin dolarla birlesik krallik milyon bin dolar ile yunanistan izledi oyuncak turlerine gore bakildiginda takim veya set halinde diger oyuncaklarda milyon bin dolar bilmecelerde puzzle milyon bin dolarlik ihracat yapildi cocuklar icin uc tekerlekli bisikletler scooterlar pedalli arabalar ve benzeri tekerlekli oyuncaklar ile oyuncak bebekler icin arabalardan olusan tekerlekli oyuncaklar grubunda ise milyon bin dolarlik ihracat gerceklestirildi oyuncak bebeklerin ihracati da milyon bin dolar olarak hesaplandi sektorde yilin ayinda yapilan ithalat milyon bin dolar oldu bu donemde yapilan ithalatin yuzde unu cinden alinan oyuncaklar olusturdu yilda katina cikti oyuncak sektorunde de milyon bin dolarlik ihracat gerceklestirildi bu rakam da milyon bin dolara de milyon bin dolara de milyon bin dolara yukseldi gecen yil sektorde milyon bin dolarlik dis satim yapilirken ihracat e kiyasla katini gecti turkiyenin doneminde ulkeler bazindaki ihracatina bakildiginda ise birlesik krallik dikkati cekti gecen yil haric yillik donemde en cok oyuncak birlesik krallika satilirken de ise en cok oyuncak ihraci italyaya yapildi oyuncak sektorunde ithalat de milyon bin dolar olarak gerceklesti yilinda milyon bin dolara gerileyen ithalat de milyon bin dolar de milyon bin dolar oldu de ise milyon bin dolarlik ithalat yapildi sektordeki ithalat yilina gore yuzde geriledi oyuncak sektorunun onu acik toptan oyuncakcilar birlikteligi toplu is yeri yapi kooperatifi toykoop baskani ender micik aa muhabirine dunyada oyuncak dis ticaret hacminin milyar dolar civarinda oldugunu bunun yaklasik milyar dolarini cinin sagladigini soyledi turkiyenin cin karsisinda onemli avantajlari olduguna dikkati ceken micik konum sebebi ile pazar talebine hizli karsilik verilebilmesi uretim ve navlun suresinin kisa olmasi ve urun kalitemizin avrupa standartlarinda olmasi en onemli artimiz devletin destegi de artarsa oyuncak sektorunun onu cok acik dedi turkiyede uretilen ve ihrac edilen urunlerin daha cok plastige dayali oldugunu dile getiren micik sunlari kaydetti burada da son donemde ivme kazanmasiyla beraber turkiyede kalip yatirimi yapan firmalar oldu ithalatci firmalarin bir kismi imalata dondu ileri islem dedigimiz montajsiz kutusuz demonte mallarda cinden ithal edilerek burada montaj hatlari kurularak da ihracata bir katkisi oldu ama son donemde urun guvenliginin uygulandigi bazi yeni yonetmeliklerden kaynakli bu montajli urunlerde yeniden maliyetler yukselmeye basladi sektorumuzun son zamanlarda elde ettigi ihracat hamlesi ulkemizde yapilan yatirimlari artirarak ithalati dusurmus ve ihracati artirmistir yabanci firmalarin ozellikle turk mali urunleri tercihi turkiyenin avrupa ortak pazari ve dan fazla ulke ile gumruk anlasmalari yapmasindan kaynaklanmaktadir ulkemizi cazibe merkezi haline getirmistir ileri islem ile cesitlilik artmakta ve piyasada sunulan urun cesitliligi arttikca turkiyeye olan guven ve tercih de artmaktadir kapasite raporuna sahip ureticiler ileri islemli urunleri ithal ederken konteyner sayisi ucte bire dusuyor bu da imalat ve uretimde kullandigi kutu koli navlun bant vida iscilik vb parasinin doviz karsiliginin ulkemizde kalmasini sagliyor bu oyuncak ithalatinda doviz cikisinin yuzde ini onlerken ayni zamanda istihdama da katki sagliyor oyuncak osb icin onay bekliyor turkiyede katma degerli uretim yapilmasi gerektigini vurgulayan micik oyuncak aksam ve yedek parcasina uygulanan gozetimin ve verginin kaldirilmasini talep etti micik bu yil oyuncak ihracatinda dikkati ceken ulkelerden birinin romanya oldugunu belirterek bunun bir firmanin romanyada yaptigi yatirimlardan kaynakli oldugunu anlatti micik toy koop olarak pinarhisarda oyuncak organize sanayi bolgesinin osb onay yazisi bekledigini dile getirerek osb kurulursa lego marvel gibi sirketlere uretim yapilabilecek altyapinin olusabilecegini ifade etti;saglik 
burdur golu kenarina kimligi belirsiz kisi veya kisilerce insaat molozu ve mermer atiklari dokuldu moloz ve atik dokenlerin tespiti icin calisma baslatildi turkiyenin nci buyuk golu olan uluslararasi ramsar sozlesmesi ile koruma altindaki burdur golu son yillarda yasanan kuraklik nedeniyle hizla kururken son donemde ise moloz kirliligi tehdidiyle karsi karsiya kaldi temmuz ve eylul aylarinda insaat molozu ile atiklar dokulen gol kenarina yine moloz ve mermer atigi dokuldugu goruldu burdurfethiye kara yolu uzerindeki alana kimligi belirsiz kisi veya kisilerce dokulen moloz ve atiklar kirlilige neden oldu mobese kameralarindan sorumlularin tespit edilmesi halinde cevre sehircilik ve iklim degisikligi il mudurlugu tarafindan cevre kanununa gore idari para cezasi uygulanacagi ogrenildi;teknoloji 
iskur verilerine gore isverenler en cok ozel guvenlik gorevlisi satis danismani turizm ve otelcilik elemani garson ve konfeksiyon iscisi talep etti turkiye is kurumu iskur istihdamin korunmasi ve artirilmasi issizlerin mesleki niteliklerinin gelistirilmesi issizligin azaltilmasi ve ozel politika gerektiren gruplarin is gucu piyasasina kazandirilmasi amaciyla istihdama aracilik etmeyi surduruyor bu kapsamda kasim ayinda bin u erkek bin si kadin ulke genelinde bin kisi ise yerlestirildi iskurun ocaktan kasim sonuna kadar gecen donemde ise yerlestirilmesine aracilik ettigi kisi sayisi milyon bin e ulasti ise yerlestirmede istanbul ilk sirada ocakkasim doneminde en fazla ise yerlesme bin kisiyle istanbulda oldu istanbulu bin kisiyle ankara bin kisiyle bursa bin kisiyle izmir ve bin kisiyle adana izledi bu surecte en az kisinin ise yerlestirildigi iller ise kisiyle ardahan kisiyle hakkari kisiyle gumushane kisiyle kars ve kisiyle kilis oldu en cok ozel sektor istedi ayrica isverenler tarafindan kasimda bin acik is ilani kuruma iletildi ocakkasim doneminde iskurun isverenlerden aldigi acik is basvurusu sayisi ise milyon bin olarak kayitlara gecti acik is basvurularinin yuzde i ozel sektorden geldi sektorler itibariyla en fazla acik is basvurusu milyon bin ile imalat sektorunden yapildi imalat sektorunu bin ile toptan ve perakende ticaret bin ile idari ve destek hizmetleri bin ile konaklama ve yiyecek hizmeti faaliyetleri ve bin ile insaat sektorleri takip etti ocakkasim doneminde en cok acik is talebi yapilan ilk meslek de belli oldu isverenlerin eleman teminiyle ilgili iskura en cok talepte bulundugu meslekler ozel guvenlik gorevlisi satis danismani turizm ve otelcilik elemani garson konfeksiyon iscisi reyon gorevlisi makineci dikis elle yapilan diger imalatla ilgili isciler market elemani ve gida alaninda perakende satis elemani olarak siralandi ocakkasim doneminde en fazla ise yerlestirme de yine bu mesleklerde gerceklesti issiz sayisi yuzde azaldi kasim ayinda iskura kayitli issiz sayisi milyon bin oldu kayitli issizlerin yuzde unu erkekler yuzde ini kadinlar olustururken yuzde i yas grubunda yer aldi nin kasim ayinda milyon bin olan iskura kayitli issiz sayisi bu yilin kasim ayinda yuzde geriledi;teknoloji 
olasi istanbul depremi yillardir gundemde yuz binlerce binanin yenilenmesi gerekiyor bazi binalarin yikilmasi icin deprem olmasina dahi gerek yok uskudarda dort yuzun uzerinde is yerinin oldugu bir pasajdaki goruntu ise korkutucu cunku bazi dukkanlarda bezle ve kagitla kapatilan kolonlar dokununca yikilacak kadar curumus durumda haber ozgur yilmaz kamera cuneyt ali horozal;teknoloji 
yasinda manisali bir kiz cocugu ciftligin afgan calisani tarafindan kacirilarak irana goturulmustu o kiz interpolun de devreye girmesiyle turkiyeye getirildi bu surecte istismara ugradigi ve bir cocuk dogurdugu anlasildi kiz yasindaki cocuguyla birlikte devlet korumasina alindi;teknoloji 
takasbank tarafindan subat de vatandaslarin hizmetine sunulan tasit takas sistemine artik edevlet uzerinden de ulasilabilecek tasit alim ve satiminda taraflari koruma altina alan tasit takas sistemine edevlet uzerinden erisim saglanabilecek takasbank ticaret bakanligi ve turkiye noterler birligi ortak calismasiyla uygulamaya alinan tasit takas uygulamasinin edevlet entegrasyonunun tamamlanmasi dolayisiyla borsa istanbulda toplanti duzenlendi takasbank tarafindan subat de vatandaslarin hizmetine sunulan tasit takas arac mulkiyetinin ve satis bedelinin es zamanli el degistirmesi esnasinda ortaya cikabilecek risklerin onlenmesi amaciyla hayata gecirilmisti bugune kadar internet sitesi ve mobil uygulama uzerinden arac alis ve satis islemlerine olanak saglayan tasit takas edevlet kapisinin da eklenmesiyle birlikte hizmet sundugu kanal sayisina bir yenisini daha ekledi vatandaslarin guvenli ve hizli islem gerceklestirmeleri zamandan kazanim saglamalari gibi pek cok avantaji beraberinde getiren entegrasyon sistemin guclu altyapisinin daha da ivmelendirilmesine zemin hazirladi genis kitlelere erisim kapisi aralandi takasbank genel muduru ve yonetim kurulu uyesi avsar sungurlu toplantida yaptigi aciklamada internet sitesi ve mobil uygulama uzerinden erisime acik olan tasit takas hizmetinin edevlet entegrasyon sureci icin gorusmelerin subat ayinda basladigini animsatarak sistemin artik edevlet kapisi uzerinden de kullanilabilir hale geldigini boylece cok daha genis kitlelere guvenilir bir erisim kapisi aralandigini soyledi dakikalar icinde transfer verilen bilgiye gore takasbank tarafindan gelistirilen tasit alim ve satiminda taraflari korumaya alan tasit takas sistemi ile tasit mulkiyet hakkinin ve alim satim bedelinin karsiligi olan nakit ayni anda el degistiriyor satici ve alici karsilikli olarak bir aracin satis islemi icin uzlasma sagladiginda satici tasit takas sisteminde sureci baslatiyor satici ilgili tum satis bilgilerini girerek guvenli bir dijital kayit olusturduktan sonra sistem noter tarafindan onayli ve kisiye ozel bir referans numarasi veriyor ve bu numara hem aliciya hem de saticiya gonderiliyor alici tasit takas sistemine erismek ve satin alma islemini onaylamak icin bu referans numarasini kullaniyor takasbank taraflarca girilen banka hesap numaralarinin lisans sahiplerine ait olup olmadigini kontrol ediyor ve bu kontrol sayesinde butun islemin guvenli hale gelmesi saglaniyor alici satis bedelini sadece kayit esnasinda sisteme girdigi kendi adina kayitli bir banka hesabindan takasbanka ait ibana eft aciklamasina referans numarasini yazarak gonderebiliyor aksi takdirde gonderilen tutar takasbank tarafindan otomatik olarak iade ediliyor takasbank nezdindeki hesaba gelen satis bedeli noterde isleme baslandigi anda bloke ediliyor alici ve satici bilgilendiriliyor noterde islem gerceklestirilmeden once wwwtasittakascomtr wwwturkiyegovtr adreslerinden ve mobil uygulamalar uzerinden devam eden islemlerim butonu ile satis bedelinin blokeye alindigindan emin olunmasi ve noterde devir islemlerinin bu sorgulama sonrasi gerceklestirmesinin onem arz ettigine dair taraflara kisa mesaj sms ve eposta ile bilgi veriliyor noterde tescil islemi gerceklesmedigi surece taraflar islemi iptal edebiliyor satis bedeli noter tarafindan tescil islemi tamamlandiktan sonra dakikalar icinde saticinin hesabina otomatik olarak aktariliyor boylece paranin sahte cikmasi calinmasi veya saticinin parayi aldiktan sonra satistan vazgecmesi gibi sorunlar ortadan kalkiyor uygulamada devir islemi vekil tarafindan yapilsa dahi satis bedeli sadece satici adina olan bir banka hesabina gonderiliyor tasit takas hizmeti tasit mulkiyet hakki ile satis bedeli olan nakdin es anli olarak el degistirmesini saglarken taraflara guvenle islem yapma imkani sunuyor nakit tasima riskini ortadan kaldiriyor sahte para riskini engelliyor;teknoloji 
